0.0199852,0,0.010618,0.0166667,0
0.0398816,0,0.164607,0.0333333,1
0.0596008,0,0.392959,0.05,2
0.0790552,0,0.266353,0.0666667,3
0.0981584,0,0.134999,0.0833333,4
0.116826,0,0.230973,0.1,5
0.134974,0,0.39922,0.116667,6
0.152522,0,0.266348,0.133333,7
0.169393,0,0.112363,0.15,8
3.71022,0,0.000187004,0.166667,9
4.0161,0,4.31469,0.183333,10
4.30414,0,0.386077,0.2,11
4.57305,0,1.91759,0.216667,12
4.82165,0,10.724,0.233333,13
5.04883,0,2.70015,0.25,14
5.25357,0,7.86193,0.266667,15
5.43498,0,7.01045,0.283333,16
5.59223,0,0.321568,0.3,17
5.72465,0,2.17074,0.316667,18
5.83163,0,-0.00104413,0.333333,19
5.9127,0,2.91866,0.35,20
5.9675,0,6.2427,0.366667,21
5.99579,0,-8.22537,0.383333,22
5.99744,0,-0.113206,0.4,23
5.97245,0,-0.000576141,0.416667,24
5.92092,0,1.21575,0.433333,25
5.84309,0,7.85751,0.45,26
5.73929,0,5.72004,0.466667,27
5.61,0,-3.74391,0.483334,28
5.45578,0,-0.00243717,0.5,29
5.27733,0,4.5777,0.516667,30
5.07543,0,7.86472,0.533333,31
4.85098,0,-9.48038,0.55,32
4.60497,0,5.80533,0.566667,33
4.33851,0,-2.70004,0.583333,34
4.05278,0,0.3221,0.6,35
3.74904,0,-2.80924,0.616667,36
0.171432,0,0.0454502,0.633333,37
0.15465,0,0.0155092,0.65,38
0.137182,0,5.90301e-05,0.666667,39
0.119104,0,0.239654,0.683333,40
0.100496,0,0.295703,0.7,41
0.0814427,0,0.0276626,0.716667,42
0.0620272,0,0.388744,0.733333,43
0.0423361,0,0.135031,0.75,44
0.0224569,0,0.311155,0.766667,45
0.00247788,0,0.372227,0.783333,46
0.0175121,0,0.10872,0.8,47
0.0374243,0,0.369185,0.816667,48
0.0571702,0,0.000226979,0.833333,49
0.0766622,0,0.0644257,0.85,50
0.0958135,0,0.163167,0.866666,51
0.114539,0,0.0162491,0.883333,52
0.132756,0,0.394232,0.9,53
0.150383,0,0.000126235,0.916666,54
0.167342,0,0.310468,0.933333,55
0.183557,0,0.185966,0.95,56
0.198957,0,0.337318,0.966666,57
0.213473,0,0.210602,0.983333,58
0.227041,0,0.00053288,1,59
0.239599,0,0.16417,1.01667,60
